province,country,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Abruzzo,Italy,42.35122196,13.39843823,65237.0,2136.0,52969.0,10132.0,4973.924579514784,3.2742155525238745
Acre,Brazil,-9.0238,-70.812,69657.0,1262.0,54045.0,14350.0,7898.201114594613,1.811734642605912
Adygea Republic,Russia,44.6939006,40.1520421,14101.0,163.0,13365.0,573.0,3110.2219791078487,1.1559463867810793
Aguascalientes,Mexico,21.8853,-102.2916,24880.0,2154.0,0.0,22726.0,1734.2390224691298,8.657556270096464
Aichi,Japan,35.035551,137.211621,27394.0,583.0,25985.0,826.0,362.726868151286,2.1282032561874864
Akita,Japan,39.748679,140.408228,283.0,6.0,271.0,6.0,29.281213463150163,2.120141342756184
Alabama,United States,32.88428035358209,-86.71012237686567,7469.391304347826,152.95652173913044,,,10575.04131256362,2.472641841280754
Alagoas,Brazil,-9.5713,-36.782,153490.0,3554.0,144928.0,5008.0,4599.148368004981,2.315460290572676
Alaska,United States,60.347998391333334,-149.00727894000002,2029.0645161290322,10.096774193548388,0.0,279.5,6316.025739916579,0.4002523471843665
Alberta,Canada,53.9333,-116.5765,148332.0,1990.0,137992.0,8350.0,3338.6459545713487,1.3415850928997115
Altai Krai,Russia,52.6932243,82.69314240000001,47137.0,1832.0,42198.0,3107.0,2005.7615059912853,3.8865434796444407
Altai Republic,Russia,50.7114101,86.8572186,16655.0,191.0,16268.0,196.0,7637.701031353325,1.1468027619333534
Amapa,Brazil,0.902,-52.003,97542.0,1302.0,72132.0,24108.0,11533.454490848744,1.3348096204711817
Amazonas,Brazil,-3.4168,-65.8561,349123.0,12015.0,298476.0,38632.0,8423.569287918705,3.4414805097343915
Amazonas,Colombia,-1.4429,-71.5724,5858.0,219.0,5595.0,44.0,7648.617947747066,3.7384772960054624
Amazonas,Peru,-5.077253,-78.050172,23141.0,788.0,0.0,22353.0,5421.977507029053,3.4052115293202543
Amur Oblast,Russia,52.8032368,128.437295,21887.0,243.0,20674.0,970.0,2741.27531236536,1.1102480924749851
Ancash,Peru,-9.407125,-77.67179499999997,50871.0,4301.0,0.0,46570.0,4308.910723361003,8.454718798529614
Andalusia,Spain,37.5443,-4.7278,505796.0,9206.0,10671.0,485919.0,6001.800079621188,1.8201013847480008
Andaman and Nicobar Islands,India,11.225999,92.968178,5083.0,62.0,4976.0,45.0,1218.839620560335,1.21975211489278
Andhra Pradesh,India,15.9129,79.74,901989.0,7217.0,887434.0,7338.0,1673.3436427647514,0.8001206223135758
Anguilla,United Kingdom,18.2206,-63.0686,25.0,0.0,21.0,4.0,166.6444474070124,0.0
Anhui,China,31.8257,117.2264,994.0,6.0,988.0,0.0,1.6287826941871515,0.6036217303822937
Antioquia,Colombia,7.1986,-75.3412,374623.0,7016.0,354364.0,13243.0,5846.996036585651,1.8728161378238923
